Date,Close,High,Low,Open,Volume
,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS
2018-01-01,55.281410217285156,56.291816804520295,55.07473530675599,56.069829917050654,19249201
2018-01-02,55.82489013671875,55.97415433578475,54.74941678783256,55.419196283686695,25896915
2018-01-03,56.25737380981445,56.45256782291685,55.974157374021736,56.03156196932082,27654851
2018-01-04,58.193973541259766,58.43892224785857,56.03155231014663,56.37601047103649,84839667
2018-01-05,58.99388885498047,59.46847436162398,58.36621421540115,58.48102953267925,74902157
2018-01-08,58.844627380371094,59.54119369449521,58.557579879322866,59.53353770506966,27125386
2018-01-09,59.116363525390625,59.77083109911231,58.71066963790566,58.940306415224526,33564228
2018-01-10,59.1584587097168,59.476124022984116,58.39683184756623,59.0359874037759,31392536
2018-01-11,59.013023376464844,59.545013455387505,58.814004446848635,59.15845651444914,20307574
2018-01-12,58.95943832397461,59.46081671352849,58.17867457324369,59.0321610235732,22775863
2018-01-15,59.97367858886719,60.7008689121371,59.0168576041483,59.09340524442844,43786108
2018-01-16,58.614994049072266,59.91627326974923,58.18250724231133,59.91627326974923,29298001
2018-01-17,59.246482849121094,59.548842291485315,57.9452038664353,58.78720935633659,31364071
2018-01-18,57.54335021972656,59.694284892257855,57.11851941315518,59.3230398838172,48458449
2018-01-19,57.6390266418457,58.32794309614175,56.83529486496384,57.600758954113964,33776091
2018-01-22,57.57778549194336,57.89928184983708,57.206540531775715,57.56247964425016,37845999
2018-01-23,59.6866340637207,60.249242027095384,57.562486195028114,57.562486195028114,84355326
2018-01-24,58.335594177246094,59.751688524725346,57.95668709441662,59.744032535945045,51799508
2018-01-25,58.875240325927734,59.17759365105799,58.040890790116414,58.55757502321618,88142731
2018-01-29,59.94688034057617,60.60900381689292,58.951785726246655,59.016846304271134,68308614
2018-01-30,59.388099670410156,60.00429336912872,59.03598548274539,59.751688646726635,63179831
2018-01-31,56.64592361450195,60.08862979969994,56.376774854992625,59.09237666858122,129589020
2018-02-01,55.97908020019531,57.26456909836559,54.76188222930499,56.88294044370959,74039310
2018-02-02,53.866058349609375,55.67780013368918,53.512552691251,55.59745208753493,65009260
2018-02-05,53.35185623168945,54.19144049638085,52.263210217396384,53.10680943202845,46987220
2018-02-06,53.38800811767578,54.552987195430035,50.82104839129658,51.499945764405474,67045570
2018-02-07,53.17109298706055,54.810093861539386,52.785443198485055,53.66922268695068,67895210
2018-02-08,53.9463996887207,54.39230436944521,52.54441579188505,53.03048836556148,58455900
2018-02-09,55.059146881103516,55.43676057884094,53.03851761994596,53.3237384330331,91402880
2018-02-12,57.292694091796875,57.59800196235845,56.031306974711796,57.525689945232386,120363070
2018-02-14,56.8829460144043,57.88723527221726,56.605761198496694,57.790821296776954,48859510
